,accuratePasses,touches,totalDuelsWon,clearances,cleanSheet
accuratePasses,1.0,0.9708509524337353,0.8921619073507248,0.8814235774636645,0.853988679320291
touches,0.9708509524337353,1.0,0.93991115544932,0.8749945502808516,0.8851337228059895
totalDuelsWon,0.8921619073507248,0.93991115544932,1.0,0.8808295808716193,0.8540052777908779
clearances,0.8814235774636645,0.8749945502808516,0.8808295808716193,1.0,0.8045040874552541
cleanSheet,0.853988679320291,0.8851337228059895,0.8540052777908779,0.8045040874552541,1.0
