player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Micky van de Ven,Tottenham Hotspur,D,0,0.0,95,57,42.85714286,356,878,1234,89.09747292,36,45.0,44,28,1,96,1,1,3,6,110,4,9,81,1,1,0.33369814,2.4957,21,0,26.66666667,4,5,40,30,10,4,0,,57,60.63829787,2,0,0,151,21,5,1,28,2413,1,0,0,0,1,0.0,0,0,0,0,180,0,0,6.714285714,1,1,0,0,0,0,0,603.25,0.0,0,13,2,6,6,9,69.23076923,32,15,46.875,5,13,3,93,53.44827586,133,449,936,1385,15,2,1693,16,7
Jun'ai Byfield,Tottenham Hotspur,D,0,0.0,2,0,0.0,4,0,4,80.0,1,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00266754,,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0,0,0,0,0,1,0,0,6.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,100.0,0,5,0,5,0,0,7,0,0
Djed Spence,Tottenham Hotspur,D,10,21.73913043,189,31,39.74358974,351,303,654,81.54613466,21,48.8372093,22,24,0,99,4,2,2,6,51,24,10,115,2,4,1.74799191,0.8645,23,0,0.0,0,0,29,23,6,0,0,,82,46.85714286,0,0,0,148,13,10,0,21,1819,2,0,0,0,0,0.0,0,0,0,0,320,7,0,6.604347826,0,0,0,0,0,0,0,0.0,0.0,0,6,5,2,7,26,40.625,38,23,60.52631579,10,64,46,103,47.24770642,78,449,353,802,11,0,1337,18,4
Destiny Udogie,Tottenham Hotspur,D,4,26.66666667,114,4,26.66666667,205,151,356,85.37170264,6,42.85714286,8,14,1,49,2,0,1,0,14,9,9,49,0,1,0.66113357,0.167,12,0,0.0,0,1,19,16,3,0,0,,37,47.43589744,0,0,0,61,3,9,0,8,842,3,0,0,0,0,0.0,0,0,0,0,117,1,0,6.55,0,0,0,0,0,0,0,0.0,0.0,0,3,0,1,1,5,31.25,20,11,55.0,9,16,15,43,46.73913043,15,245,172,417,3,0,626,13,3
Radu Dr?gu?in,Tottenham Hotspur,D,0,0.0,11,5,16.66666667,45,139,184,77.96610169,16,59.25925926,11,8,0,13,0,0,1,0,42,2,3,24,2,1,0.02104441,0.3225,9,0,0.0,0,0,13,10,3,0,0,,7,35.0,0,0,0,52,15,0,0,5,521,0,0,0,0,0,0.0,0,0,0,0,69,1,0,6.442857143,0,0,0,0,0,0,0,0.0,0.0,0,4,0,3,0,1,100.0,5,2,40.0,0,1,3,23,48.93617021,30,79,157,236,4,0,339,1,0
Souza,Tottenham Hotspur,D,0,0.0,6,0,0.0,13,12,25,92.59259259,0,0.0,1,4,0,3,0,0,0,0,4,1,3,10,0,0,0.03736284,0.0164,3,0,0.0,0,0,3,2,1,0,0,,2,18.18181818,0,0,0,2,2,3,0,2,144,0,0,0,0,0,0.0,0,0,0,0,8,0,0,6.3,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0.0,3,2,3,2,16.66666667,0,15,12,27,1,0,49,2,1
Konstantinos Mavropanos,West Ham United,D,1,33.33333333,75,71,45.51282051,275,474,749,83.03769401,56,65.88235294,29,24,0,73,0,2,2,3,149,2,10,50,0,2,0.53811191,2.0009,9,0,6.25,1,1,35,32,3,1,0,,39,65.0,1,0,0,153,37,2,0,20,1905,1,1,0,0,0,0.0,0,0,0,0,172,1,0,6.9125,0,0,0,0,0,0,0,1905.0,0.0,0,15,1,10,4,1,100.0,31,19,61.29032258,2,1,3,95,65.51724138,156,389,513,902,16,2,1233,8,2
Axel Disasi,West Ham United,D,0,0.0,13,17,51.51515152,59,211,270,89.10891089,10,62.5,6,7,0,15,0,1,1,3,23,1,0,12,0,0,0.01886747,1.0198,5,0,0.0,0,0,9,8,1,0,0,,6,50.0,0,0,0,33,6,1,0,7,630,0,1,0,0,0,0.0,0,0,0,0,40,1,0,6.742857143,0,0,0,0,0,0,0,0.0,0.0,0,4,1,1,3,0,0.0,3,3,100.0,1,0,0,16,57.14285714,33,85,218,303,5,0,369,3,0
El Hadji Malick Diouf,West Ham United,D,15,20.83333333,115,42,31.81818182,266,287,553,73.63515313,38,55.88235294,30,25,5,90,4,0,4,3,96,15,12,94,0,1,1.799345,0.4571,22,0,0.0,0,5,40,37,3,0,0,,66,50.76923077,0,0,0,198,29,15,0,23,2097,2,0,0,0,1,0.0,0,0,0,0,371,2,0,6.66,0,0,0,0,0,0,0,0.0,0.0,0,6,7,7,2,17,48.57142857,32,15,46.875,15,35,72,104,52.52525253,132,399,352,751,13,1,1342,17,4
Kyle Walker-Peters,West Ham United,D,0,0.0,111,12,41.37931034,224,158,382,86.03603604,10,37.03703704,17,18,0,41,0,0,0,1,26,12,7,48,1,0,0.27424386,1.1305,9,0,20.0,1,1,22,21,1,1,0,,62,66.66666667,0,0,0,62,7,5,0,10,971,1,0,0,0,0,0.0,0,0,0,0,109,4,0,6.594117647,0,1,0,0,0,0,0,971.0,0.0,0,5,0,2,3,10,66.66666667,34,21,61.76470588,5,15,9,72,60.0,29,264,180,444,5,0,704,18,2
